Binder type,Binder Content,Sulphur,Mixing Method,Aging,Maximum Load,Fracture Energy,Secant Stiffness,Flexibility Index
1,6.4,30,2,1,5.51,1745,5.73,0.82
2,5,0,0,1,6.79,3099,6.212,1.35
2,5.5,0,0,1,6.68,1578,6.258,0.58
2,6,0,0,1,6.58,3222,4.566,1.97
2,5.8,30,2,1,4.08,894,3.57,0.44
2,6.4,30,2,1,6.07,1609,7.13,0.18
2,6.4,30,1,1,5.82,996,8.22,0.25
2,6.9,30,2,1,5.64,1262,3.3,0.32
2,5.92,15,1,1,5.11,1605,6.32,1.63
2,6.97,45,1,1,3.19,1607.5,2.14,0.78
1,6.4,30,2,2,6.42,1273,6.46,0.21
2,5,0,0,2,5.3,775,10.299,0.69
2,5.5,0,0,2,5.25,1499,7.389,0.28
2,6,0,0,2,7.2,1014,5.739,3.32
2,5.8,30,2,2,6.03,1224,6.52,0.55
2,6.4,30,2,2,5.98,1336,4.49,0.28
2,6.4,30,1,2,7.45,862,11.02,0.64
2,6.9,30,2,2,6.54,839,10.06,0.18
2,5.92,15,1,2,6.64,720.75,10.26,0.25
2,6.97,45,1,2,2.82,313.5,7.55,0.27
